datetime,temp_c,humidity,wind_speed,energy_mw
2002-01-01 01:00:00,0.57,63.3,5.89,30393.0
2002-01-01 02:00:00,-3.2,82.0,1.62,29265.0
2002-01-01 03:00:00,1.14,64.3,3.73,28357.0
2002-01-01 04:00:00,1.76,73.9,9.41,27899.0
2002-01-01 05:00:00,-5.07,73.8,6.56,28057.0
2002-01-01 06:00:00,-2.82,78.2,6.56,28654.0
2002-01-01 07:00:00,1.59,80.9,4.12,29308.0
2002-01-01 08:00:00,1.44,69.2,26.53,29595.0
2002-01-01 09:00:00,3.23,64.1,12.56,29943.0
2002-01-01 10:00:00,2.17,65.6,1.88,30692.0
2002-01-01 11:00:00,7.47,75.5,3.45,31395.0
2002-01-01 12:00:00,8.04,68.3,1.14,31496.0
2002-01-01 13:00:00,6.9,58.9,1.23,31031.0
2002-01-01 14:00:00,9.95,67.2,1.14,30360.0
2002-01-01 15:00:00,8.44,71.5,4.64,29798.0
2002-01-01 16:00:00,4.98,90.1,6.28,29720.0
2002-01-01 17:00:00,7.65,57.1,4.12,31271.0
2002-01-01 18:00:00,3.7,69.9,8.03,35103.0
2002-01-01 19:00:00,7.46,60.4,11.14,35732.0
2002-01-01 20:00:00,4.18,78.7,6.99,35639.0
2002-01-01 21:00:00,2.81,65.0,5.73,35285.0
2002-01-01 22:00:00,0.53,67.2,5.6,34007.0
2002-01-01 23:00:00,4.32,71.5,10.62,31857.0
2002-01-02 00:00:00,0.1,68.4,2.11,29563.0
2002-01-02 01:00:00,-1.22,83.8,4.0,28121.0
2002-01-02 02:00:00,-1.43,89.6,3.56,27437.0
2002-01-02 03:00:00,0.64,62.4,7.57,27301.0
2002-01-02 04:00:00,0.36,78.1,6.45,27533.0
2002-01-02 05:00:00,0.88,80.4,7.32,28405.0
2002-01-02 06:00:00,1.56,66.4,1.01,30748.0
2002-01-02 07:00:00,6.67,72.3,1.74,34725.0
2002-01-02 08:00:00,1.26,80.9,6.45,37313.0
2002-01-02 09:00:00,2.03,64.7,15.77,37322.0
2002-01-02 10:00:00,2.31,64.5,4.78,37035.0
2002-01-02 11:00:00,6.85,64.7,3.57,36758.0
2002-01-02 12:00:00,8.96,64.7,16.55,36284.0
2002-01-02 13:00:00,6.49,62.8,4.13,35548.0
2002-01-02 14:00:00,5.08,83.9,2.96,34978.0
2002-01-02 15:00:00,5.25,69.6,4.92,34304.0
2002-01-02 16:00:00,8.8,60.6,8.35,34169.0
2002-01-02 17:00:00,8.64,70.3,3.22,35674.0
